51671KB/s, iops=50 , runt=1801376msec
46390KB/s, iops=45 , runt=1801430msec
46086KB/s, iops=45 , runt=1801535msec
50900KB/s, iops=49 , runt=1801516msec
46221KB/s, iops=45 , runt=1801434msec
48292KB/s, iops=47 , runt=1801397msec
50804KB/s, iops=49 , runt=1801355msec
46659KB/s, iops=45 , runt=1801479msec
46140KB/s, iops=45 , runt=1801537msec
52336KB/s, iops=51 , runt=1801437msec
